SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,1,1,0.3333333333333333,0,0,2,0,3,0.0628428927680798,0.06447399875226663
0,1,1,0.9583333333333333,0,0,2,0,0,0.013466334164588534,0.15818810455306076
0,0,0,0.05555555555555555,0,0,0,0,2,0.5637873335365364,0.037062339397149424
0,0,0,0.05555555555555555,0,0,0,0,0,0.030616422969980822,0.010205779122306692
0,1,0,0.013888888888888888,1,0,0,1,2,0.7640897755610971,0.008879896916232779
0,0,0,0.8055555555555555,1,1,1,1,1,0.5256857855361596,0.49913416632169366
0,0,1,0.4583333333333333,1,1,1,0,1,0.15610972568578552,0.12770026412300087
0,0,0,0.2222222222222222,1,1,0,0,2,0.7807276327317543,0.18175137846380746
0,1,0,0.041666666666666664,0,0,0,1,1,0.5614827717566138,0.024547512189691503
0,0,0,0.05555555555555555,0,0,0,0,1,0.42288637106330956,0.024622888821797057
0,0,0,0.1111111111111111,0,0,0,0,2,0.8224438902743143,0.09337010454139968
1,1,0,0.4722222222222222,0,0,0,1,1,0.7274415153816236,0.3610302826796219
0,1,1,0.9722222222222222,0,1,1,1,0,0.399002493765586,0.4774387648605629
0,0,0,0.05555555555555555,0,0,0,1,2,0.5357215460184048,0.03550164679144453
0,1,0,0.8055555555555555,0,0,1,1,1,0.2653366583541147,0.311408597699273
0,1,1,1.0,1,1,2,0,1,0.8748129675810474,0.8907358711686132
0,0,0,0.013888888888888888,0,0,0,0,2,0.5838248305354476,0.006772561440511526
0,0,0,0.013888888888888888,0,0,0,0,3,0.5264748072598084,0.0061021274936063335
0,0,0,0.6666666666666666,1,0,0,0,1,0.6742154793388824,0.47114291573609157
0,1,1,0.041666666666666664,0,0,0,1,3,0.37655860349127185,0.017409962043250873
1,0,0,0.013888888888888888,0,0,0,0,2,0.1912265559952906,0.002183004266610058
0,0,0,0.3194444444444444,0,0,1,0,1,0.06384039900249378,0.06955822075552007
1,1,0,0.7777777777777777,1,1,1,1,1,0.49925187032418955,0.4658768242270176
1,1,0,0.5416666666666666,1,0,1,0,3,0.8049875311720698,0.4500119525861315
0,1,1,0.2777777777777778,0,0,0,0,3,0.016458852867830442,0.04515162292797547
0,0,0,0.013888888888888888,0,0,0,1,2,0.6077209013306093,0.007051911580994058
1,1,1,0.5972222222222222,0,1,0,1,0,0.9211970074812967,0.5444607051442766
1,1,0,1.0,1,0,2,1,1,0.655361596009975,0.6953256642431099
0,0,0,0.4583333333333333,0,0,1,1,2,0.20648379052369076,0.1504451609517757
1,0,0,0.1111111111111111,0,0,0,0,1,0.8179874990251239,0.09434300782821337
0,0,0,0.3611111111111111,1,1,1,0,1,0.36059850374064834,0.1567246415681793
0,0,0,1.0,1,1,2,0,1,0.657356608478803,0.6971272979575656
1,0,0,0.38888888888888884,0,1,0,0,1,0.8087627831514721,0.3317143691561191
0,0,0,0.09722222222222221,0,0,0,1,1,0.7027595468494723,0.07136704638452869
0,0,0,0.5555555555555556,1,1,1,1,0,0.36059850374064834,0.25856650593839464
0,0,0,0.013888888888888888,0,0,0,1,2,0.4146459340232079,0.00479482422536474
0,1,1,0.9166666666666666,1,0,2,0,0,0.9062344139650873,0.8236964392954389
0,1,1,0.7777777777777777,1,0,1,0,0,0.4668329177057357,0.4073557964212209
0,0,0,0.013888888888888888,0,0,0,0,2,0.6137564190283082,0.0071224680641577415
0,1,1,0.375,0,1,0,1,1,0.6663341645885288,0.24870124948254052
0,0,0,0.3611111111111111,1,0,0,1,0,0.5097256857855361,0.20770679431639955
0,1,0,0.2222222222222222,0,0,0,0,3,0.011970074812967607,0.03447009229728706
0,0,0,0.5416666666666666,0,0,2,0,1,0.02294264339152119,0.08671163948668018
0,0,0,0.06944444444444445,0,0,0,0,1,0.3421662721597006,0.02769165691628655
0,0,0,0.06944444444444445,0,0,0,1,1,0.5265784448600301,0.03827431878614642
0,1,1,0.2638888888888889,0,0,0,1,3,0.06433915211970076,0.04850417757461621
0,1,1,0.5694444444444444,0,0,2,0,0,0.012967581047381549,0.09158596241640479
0,0,0,0.4583333333333333,0,0,0,1,1,0.7673625102698773,0.3714181328081082
0,0,0,0.013888888888888888,0,0,0,1,2,0.17088871175347098,0.0019452505499105558
0,1,1,0.875,1,1,2,0,3,0.571571072319202,0.5431546664645417
0,0,0,0.611111111111111,0,1,0,0,2,0.8194513715710723,0.5106727848359581
0,0,0,0.027777777777777776,1,0,0,1,2,0.2932668329177057,0.008582539895400296
0,1,0,0.2361111111111111,0,0,0,1,1,0.6686738320198848,0.167287302655897
0,0,0,0.013888888888888888,0,0,0,0,3,0.27830423940149623,0.003200960871314376
0,1,1,0.7916666666666666,1,1,0,0,0,0.4668329177057357,0.42784427820956095
0,0,0,0.9444444444444444,1,0,0,0,3,0.3596009975062345,0.4278326171499205
0,0,0,0.013888888888888888,0,0,0,1,2,0.6686097361192345,0.007763714985738905
1,0,0,0.6944444444444444,0,1,0,1,2,0.863341645885287,0.606783238392873
0,0,1,0.7777777777777777,0,0,1,1,3,0.02793017456359101,0.14224160549469134
1,1,0,0.2638888888888889,0,0,0,1,1,0.15860349127182044,0.06510369597285305
0,0,0,0.09722222222222221,0,0,0,1,2,0.5588821376478961,0.05927202186002262
0,0,0,0.1388888888888889,0,0,0,0,2,0.7442326827628709,0.11243406720922546
0,0,0,0.18055555555555555,0,0,0,1,1,0.71161914023255,0.1386195849664447
1,0,0,0.18055555555555555,0,0,0,1,2,0.8827930174563592,0.1568937269329664
0,0,1,0.19444444444444442,0,0,0,1,1,0.6807096075582806,0.1451438736937069
0,0,0,0.05555555555555555,0,0,0,0,0,0.047703611877489865,0.00999855885969469
0,1,0,0.8333333333333333,0,0,1,0,0,0.05735660847880297,0.1734057873838996
0,0,0,0.3194444444444444,0,0,0,1,2,0.75452927701695,0.2606654966736828
1,0,0,0.75,0,1,1,0,3,0.5356608478802991,0.45095649841701124
0,1,0,0.20833333333333331,0,0,0,1,2,0.657356608478803,0.15037519459393278
0,1,1,0.4861111111111111,0,0,2,0,0,0.020947630922693278,0.08635014663782499
0,1,1,0.875,0,0,2,0,3,0.06832917705735658,0.1812361889324883
1,0,0,0.7638888888888888,0,0,1,1,2,0.8154613466334164,0.6286360641591503
0,0,0,0.013888888888888888,0,0,0,0,1,0.2548628428927681,0.0029269259697628732
0,1,1,0.013888888888888888,0,0,0,0,0,0.015291406741280766,0.00012628502262984793
0,0,0,0.013888888888888888,0,0,0,0,2,0.5686648068637921,0.006595337545474653
0,0,0,0.2638888888888889,0,0,0,0,2,0.7082926191882482,0.203170944809193
0,0,0,0.013888888888888888,0,0,0,0,3,0.02493765586034913,0.0002390517226300349
1,0,0,0.861111111111111,0,1,1,1,0,0.9211970074812967,0.8202972404102363
0,1,1,0.09722222222222221,0,0,1,0,3,0.022443890274314204,0.015293479718502022
0,0,0,0.611111111111111,0,0,2,0,1,0.01995012468827928,0.10339861583222068
0,0,0,0.20833333333333331,0,0,0,0,3,0.013466334164588534,0.03413775209753311
0,1,0,0.2222222222222222,0,0,0,1,2,0.6001456305973205,0.14168433842479414
0,0,0,0.9166666666666666,1,1,2,1,0,0.43990024937655864,0.48014996122697673
0,0,0,0.6944444444444444,0,0,0,1,2,0.7628836290456142,0.5591200321241871
0,0,0,0.3194444444444444,0,0,0,0,2,0.02443890274314217,0.05306365189404762
0,0,0,0.4444444444444444,0,0,0,1,0,0.6179551122194513,0.30054049011433676
0,0,0,0.20833333333333331,0,0,0,1,1,0.6488018430797775,0.1447136203794575
0,1,0,0.2777777777777778,0,0,1,1,3,0.015960099750623458,0.04636437313058638
1,0,0,0.041666666666666664,0,0,0,0,2,0.2653366583541147,0.012623097060829917
0,1,1,0.5555555555555556,0,0,0,1,0,0.01995012468827928,0.0847117677583362
1,1,0,0.9305555555555555,1,0,0,0,0,0.6528678304239401,0.6495151914454468
0,1,0,0.2222222222222222,0,0,0,1,2,0.8139650872817954,0.17677000309018082
0,1,0,0.8472222222222222,0,0,0,1,2,0.8645430192677044,0.7303046795246924
0,0,0,0.013888888888888888,0,0,0,0,2,0.7040557561456118,0.008178086484668341
0,1,1,1.0,0,0,2,0,0,0.015461346633416445,0.1520602177119835
0,0,0,0.5277777777777778,1,0,1,1,2,0.8623441396508729,0.4510964311326971
0,0,0,0.013888888888888888,0,0,0,1,2,0.66285683489242,0.007696462349116397
0,1,1,0.3472222222222222,0,0,1,0,3,0.016458852867830442,0.058451061447953784
0,0,0,0.013888888888888888,0,0,0,1,1,0.36508728179551125,0.004215473060036966
0,0,0,0.08333333333333333,0,0,0,1,2,0.6973267502449096,0.059339151639715954
0,0,0,0.3472222222222222,0,0,0,0,3,0.0064837905236907745,0.051594358379345936
0,0,0,0.013888888888888888,0,0,0,0,3,0.010630156103144717,7.179401313504733e-05
0,0,0,0.3611111111111111,0,0,0,0,2,0.2698254364089776,0.1416002472144644
0,0,0,0.041666666666666664,0,0,0,0,2,0.6127092911937435,0.028975902168950667
0,1,1,0.75,0,0,2,0,1,0.4483790523690773,0.39533907446169636
0,1,0,0.2222222222222222,0,0,0,1,2,0.6638403990024937,0.1585204447528147
0,0,0,0.7638888888888888,0,0,2,1,0,0.5925187032418953,0.5019503122248721
