customer_feedback,tenure,MonthlyCharges,Churn
Happy with the consistent service over the years.,1,29.85,0
I appreciate the flexible contract options.,34,56.95,0
Contract terms feel rigid and hard to adjust.,2,53.85,1
Satisfied with the support offered by tech specialists.,45,42.3,0
Dependents face frequent network drops.,2,70.7,1
Monthly billing errors are a common occurrence.,8,99.65,1
Tenure discounts make the service worth it.,22,89.1,0
Great service with no interruptions during my tenure.,10,29.75,0
Issues with online security features persisting.,28,104.8,1
Happy with the package offered for my household.,62,56.15,0
Easy setup and reliable network with no drops.,13,49.95,0
Tech support was very helpful when I needed assistance.,16,18.95,0
Tenure discounts make the service worth it.,58,100.35,0
Issues with online security features persisting.,49,103.7,1
The partner-friendly plans fit our budget well.,25,105.5,0
Online security is a great added feature.,69,113.25,0
Flexible contract terms suit my needs perfectly.,52,20.65,0
Dependents also use the service with no issues.,71,106.7,0
Tech support response times are too slow.,10,55.2,1
Great experience with minimal downtime.,21,90.05,0
Online security lags compared to competitors.,1,39.65,1
Enjoying affordable rates and stable monthly charges.,12,19.8,0
Monthly charges feel high for the service provided.,1,20.15,1
Happy with the consistent service over the years.,58,59.9,0
Online security features keep my data safe.,49,59.6,0
Happy with the package offered for my household.,30,55.3,0
Monthly charges are inconsistent and unpredictable.,47,99.35,1
Dependents face frequent network drops.,1,30.2,1
Smooth billing system with paperless convenience.,72,90.25,0
Contract renewal terms lack flexibility.,17,64.7,1
Paperless billing is convenient and eco-friendly.,71,96.35,0
Tech support was very helpful when I needed assistance.,2,95.5,0
Satisfied with the support offered by tech specialists.,27,66.15,0
Paperless billing is convenient and eco-friendly.,1,20.2,0
Enjoying good service quality over the years.,1,45.25,0
Good monthly rates and easy-to-understand billing.,72,99.9,0
Partnered plan does not seem cost-effective anymore.,5,69.7,1
Online security features meet my needs well.,46,74.8,0
Contract terms do not accommodate long-term customers.,34,106.35,1
Frequent billing issues make the service frustrating.,11,97.85,1
Happy with the consistent service over the years.,10,49.55,0
Enjoying affordable rates and stable monthly charges.,70,69.2,0
The partner-friendly plans fit our budget well.,17,20.75,0
Clear billing process with no surprise charges.,63,79.85,0
Billing is seamless with paperless billing.,13,76.2,0
Enjoying good service quality over the years.,49,84.5,0
Tech support was very helpful when I needed assistance.,2,49.25,0
Tech support often fails to resolve issues effectively.,2,80.65,1
Online security features meet my needs well.,52,79.75,0
Online security features keep my data safe.,69,64.15,0
Partner and dependents also satisfied with the plan.,43,90.25,0
Frequent billing issues make the service frustrating.,15,99.1,1
Tech support has been quick and effective every time.,25,69.5,0
Frequent outages even after being a long-term customer.,8,80.65,1
Great experience with minimal downtime.,60,74.85,0
The billing system is often confusing and inaccurate.,18,95.45,1
Billing is seamless with paperless billing.,63,99.65,0
Great service with no interruptions during my tenure.,66,108.45,0
Billing is seamless with paperless billing.,34,24.95,0
I appreciate the flexible contract options.,72,107.5,0
Easy setup and reliable network with no drops.,47,100.5,0
Tech support has been quick and effective every time.,60,89.9,0
Clear billing process with no surprise charges.,72,42.1,0
Great experience with minimal downtime.,18,54.4,0
Partnered plan does not seem cost-effective anymore.,9,94.4,1
Clear billing process with no surprise charges.,3,75.3,0
Flexible contract terms suit my needs perfectly.,47,78.9,0
Monthly charges are reasonable for the service.,31,79.2,0
Enjoying affordable rates and stable monthly charges.,50,20.15,0
Happy with the consistent service over the years.,10,79.85,0
Enjoying good service quality over the years.,1,49.05,0
Enjoying affordable rates and stable monthly charges.,52,20.4,0
The tech support team is quick and professional.,64,111.6,0
Happy with the consistent service over the years.,62,24.25,0
The support team made the setup process smooth.,3,64.5,0
Flexible contracts that fit my lifestyle.,56,110.5,0
I appreciate the flexible contract options.,46,55.65,0
The support team made the setup process smooth.,8,54.65,0
Flexible contract terms suit my needs perfectly.,30,74.75,0
Monthly charges are reasonable for the service.,45,25.9,0
Tech support response times are too slow.,1,79.35,1
Happy with the consistent service over the years.,11,50.55,0
The online security features feel minimal.,7,75.15,1
Tenure discounts make the service worth it.,42,103.8,0
Online security features have given me peace of mind.,49,20.15,0
The support team made the setup process smooth.,9,99.3,0
The tech support team is quick and professional.,35,62.15,0
I appreciate the flexible contract options.,48,20.65,0
Online security features keep my data safe.,46,19.95,0
Great experience with minimal downtime.,29,33.75,0
The partner-friendly plans fit our budget well.,30,82.05,0
Partner and dependents also satisfied with the plan.,1,74.7,0
Tech support has been quick and effective every time.,66,84.0,0
